iter	Logloss
0	0.6779234591
1	0.6680947054
2	0.6567380678
3	0.6421374607
4	0.6316760374
5	0.6188568802
6	0.6076712103
7	0.5981419633
8	0.5879700963
9	0.5797341477
10	0.5712991596
11	0.5642926202
12	0.5559835896
13	0.5508854155
14	0.5412006491
15	0.5301718588
16	0.5240370503
17	0.5185286587
18	0.5131726517
19	0.5093516102
20	0.5010782014
21	0.4964222858
22	0.4896250597
23	0.4810812105
24	0.4735210442
25	0.4699577812
26	0.4636575839
27	0.4575953002
28	0.4535366347
29	0.4486242912
30	0.4440171663
31	0.4390690702
32	0.4328216465
33	0.4276577048
34	0.4249956382
35	0.4228780479
36	0.4192890707
37	0.4171763089
38	0.4134554105
39	0.412239981
40	0.4091534976
41	0.4071751298
42	0.4026770276
43	0.3996786269
44	0.3959671769
45	0.3940528152
46	0.3897734294
47	0.3863664663
48	0.3831115744
49	0.3800789898
50	0.3766030627
51	0.3737619606
52	0.3706127948
53	0.3670476679
54	0.3640648514
55	0.3619811992
56	0.3590236865
57	0.3551691816
58	0.3526503227
59	0.3502719598
60	0.3457353782
61	0.3426742093
62	0.339992175
63	0.3375363761
64	0.3341842639
65	0.3295663138
66	0.3269589859
67	0.324995675
68	0.3225221773
69	0.3192720661
70	0.3168796174
71	0.3150900694
72	0.3145465929
73	0.3111820001
74	0.3089786052
75	0.3074811749
76	0.3049395531
77	0.3032472285
78	0.3006238718
79	0.2983527295
80	0.2963248099
81	0.2951544487
82	0.2929794824
83	0.2919692445
84	0.2910684701
85	0.2890009318
86	0.2869901927
87	0.2852265087
88	0.282853715
89	0.2806848679
90	0.2774722016
91	0.2768726599
92	0.2739117238
93	0.2721557718
94	0.2707174424
95	0.2689000499
96	0.2673352813
97	0.26608723
98	0.2639886442
99	0.2626656794
