iter	Passed	Remaining
0	136	13543
1	137	6748
2	138	4473
3	139	3339
4	139	2656
5	140	2203
6	141	1879
7	142	1635
8	142	1445
9	143	1293
10	144	1168
11	144	1063
12	145	974
13	146	899
14	147	833
15	147	775
16	148	724
17	148	678
18	149	637
19	150	601
20	151	568
21	151	538
22	152	510
23	153	484
24	153	461
25	154	439
26	154	418
27	155	399
28	156	382
29	156	365
30	157	349
31	157	335
32	158	321
33	158	308
34	159	296
35	159	284
36	160	273
37	161	262
38	161	252
39	161	242
40	162	233
41	163	225
42	163	217
43	164	209
44	164	201
45	165	193
46	165	186
47	166	180
48	166	173
49	167	167
50	168	161
51	168	155
52	169	150
53	169	144
54	170	139
55	170	134
56	171	129
57	172	124
58	172	119
59	173	115
60	173	111
61	174	106
62	174	102
63	175	98
64	175	94
65	176	90
66	177	87
67	177	83
68	178	80
69	178	76
70	179	73
71	180	70
72	180	66
73	181	63
74	181	60
75	182	57
76	183	54
77	183	51
78	184	49
79	185	46
80	185	43
81	186	40
82	187	38
83	187	35
84	188	33
85	188	30
86	189	28
87	190	25
88	190	23
89	191	21
90	191	18
91	192	16
92	192	14
93	193	12
94	193	10
95	194	8
96	195	6
97	195	3
98	195	1
99	196	0
